,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,Coordinates,latitude,longtitude
0,flat,signature global park 4,sector 36,0.82,7586.0,3.0,2.0,2,2.0,New Property,850.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"28.4160° N, 76.9914° E",28.416,76.9914
1,flat,avl 36 gurgaon,sector 36,0.75,7500.0,2.0,2.0,2,5.0,Relatively New,856.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,"28.4160° N, 76.9914° E",28.416,76.9914
2,flat,signature the serenas,sector 36,0.28,5736.0,1.0,1.0,2,1.0,Relatively New,542.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,"28.4160° N, 76.9914° E",28.416,76.9914
3,flat,signature global park 4,sector 36,1.0,9901.0,3.0,2.0,3,2.0,New Property,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,"28.4160° N, 76.9914° E",28.416,76.9914
4,flat,krisumi waterfall residences,sector 36,4.1,15501.0,3.0,4.0,3,30.0,New Property,2820.0,1.0,0.0,0.0,0.0,0.0,2.0,49.0,"28.4160° N, 76.9914° E",28.416,76.9914
5,flat,signature global park 4,sector 36,0.72,6660.0,3.0,2.0,3,3.0,Under Construction,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
6,house,independent,sector 36,0.66,7166.0,2.0,2.0,3,4.0,New Property,823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
7,flat,avl 36 gurgaon,sector 36,0.45,9000.0,1.0,1.0,1,9.0,Relatively New,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
8,house,independent,sector 36,0.75,6938.0,3.0,1.0,0,1.0,New Property,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
9,flat,avl 36 gurgaon,sector 36,0.36,9000.0,1.0,1.0,1,7.0,Relatively New,407.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,"28.4160° N, 76.9914° E",28.416,76.9914
10,flat,signature global park 4,sector 36,0.85,11333.0,3.0,2.0,3,1.0,New Property,833.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,"28.4160° N, 76.9914° E",28.416,76.9914
11,flat,signature global infinity mall,sector 36,0.41,6269.0,2.0,2.0,3,3.0,New Property,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
12,flat,avl 36 gurgaon,sector 36,0.5,8333.0,1.0,1.0,1,5.0,New Property,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
13,flat,avl 36 gurgaon,sector 36,0.37,10541.0,1.0,1.0,1,3.0,Relatively New,319.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,"28.4160° N, 76.9914° E",28.416,76.9914
14,flat,avl 36 gurgaon,sector 36,0.4,10204.0,1.0,1.0,1,4.0,Relatively New,436.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,"28.4160° N, 76.9914° E",28.416,76.9914
15,flat,the serenas,sector 36,0.42,7910.0,2.0,2.0,1,3.0,New Property,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
16,flat,signature global park 4,sector 36,0.72,6429.0,3.0,2.0,3,2.0,Under Construction,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4160° N, 76.9914° E",28.416,76.9914
17,flat,breez global heights,sector 36,0.24,5825.0,1.0,1.0,1,8.0,New Property,458.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,"28.4160° N, 76.9914° E",28.416,76.9914
18,flat,krisumi waterfall residences,sector 36,2.2,14875.0,2.0,2.0,2,23.0,New Property,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"28.4160° N, 76.9914° E",28.416,76.9914
19,flat,avl 36 gurgaon,sector 36,0.65,8953.0,2.0,2.0,2,7.0,Relatively New,657.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,"28.4160° N, 76.9914° E",28.416,76.9914
20,flat,signature global park 4,sector 36,0.82,7586.0,3.0,2.0,3,2.0,New Property,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,"28.4160° N, 76.9914° E",28.416,76.9914
21,flat,krisumi waterfall residences,sector 36,2.3,15551.0,2.0,2.0,2,23.0,New Property,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"28.4160° N, 76.9914° E",28.416,76.9914
22,flat,krisumi waterfall residences,sector 36,3.65,14381.0,3.0,3.0,2,17.0,New Property,2297.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"28.4160° N, 76.9914° E",28.416,76.9914
23,flat,smart world gems,sector 89,0.95,8597.0,2.0,2.0,2,4.0,New Property,1226.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,"28.4253° N, 76.9439° E",28.4253,76.9439
24,house,greenopolis,sector 89,0.7,5397.0,2.0,2.0,2,14.0,Under Construction,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4253° N, 76.9439° E",28.4253,76.9439
25,flat,smart world gems,sector 89,1.71,12000.0,3.0,2.0,0,3.0,Under Construction,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
26,flat,adani aangan galleria,sector 89,0.25,5000.0,1.0,1.0,1,6.0,New Property,430.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,"28.4253° N, 76.9439° E",28.4253,76.9439
27,flat,m3m soulitude,sector 89,1.3,8701.0,3.0,3.0,2,1.0,New Property,1179.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
28,flat,smart world gems,sector 89,0.9,8160.0,2.0,2.0,2,3.0,New Property,998.0,1.0,0.0,0.0,0.0,1.0,0.0,95.0,"28.4253° N, 76.9439° E",28.4253,76.9439
29,flat,smart world gems,sector 89,1.0,9009.0,2.0,2.0,3,3.0,New Property,1233.0,1.0,0.0,0.0,0.0,1.0,0.0,99.0,"28.4253° N, 76.9439° E",28.4253,76.9439
30,flat,smart world gems,sector 89,0.9,8160.0,2.0,2.0,2,2.0,New Property,998.0,1.0,0.0,0.0,0.0,1.0,0.0,44.0,"28.4253° N, 76.9439° E",28.4253,76.9439
31,flat,greenopolis,sector 89,0.65,5196.0,2.0,2.0,2,15.0,Under Construction,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,"28.4253° N, 76.9439° E",28.4253,76.9439
32,flat,smart world gems,sector 89,1.1,9973.0,3.0,1.0,0,0.0,Under Construction,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
33,flat,smart world gems,sector 89,0.86,7797.0,2.0,3.0,3,4.0,Under Construction,998.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
34,flat,greenopolis,sector 89,0.8,6168.0,2.0,2.0,2,6.0,Under Construction,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,"28.4253° N, 76.9439° E",28.4253,76.9439
35,flat,smart world gems,sector 89,0.86,7797.0,2.0,3.0,2,4.0,New Property,1226.0,1.0,1.0,0.0,1.0,0.0,1.0,72.0,"28.4253° N, 76.9439° E",28.4253,76.9439
36,flat,tulip petals,sector 89,1.1,7097.0,3.0,2.0,3,4.0,Under Construction,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4253° N, 76.9439° E",28.4253,76.9439
37,flat,smart world gems,sector 89,1.0,9033.0,2.0,2.0,2,1.0,Under Construction,1230.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,"28.4253° N, 76.9439° E",28.4253,76.9439
38,flat,greenopolis,sector 89,0.8,4819.0,2.0,3.0,3,8.0,Under Construction,1502.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,"28.4253° N, 76.9439° E",28.4253,76.9439
39,flat,adani aangan galleria,sector 89,0.42,4941.0,2.0,2.0,2,3.0,Relatively New,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4253° N, 76.9439° E",28.4253,76.9439
40,flat,smart world gems,sector 89,1.25,8784.0,3.0,3.0,3,2.0,Under Construction,1288.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,"28.4253° N, 76.9439° E",28.4253,76.9439
41,flat,smart world gems,sector 89,1.2,8433.0,3.0,3.0,2,3.0,New Property,1423.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,"28.4253° N, 76.9439° E",28.4253,76.9439
42,flat,m3m soulitude,sector 89,1.32,16923.0,3.0,3.0,3,1.0,Under Construction,867.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
43,flat,m3m soulitude,sector 89,1.0,9066.0,2.0,2.0,2,2.0,New Property,1226.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.4253° N, 76.9439° E",28.4253,76.9439
44,flat,smart world gems,sector 89,1.2,8433.0,3.0,3.0,2,2.0,Under Construction,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
45,flat,smart world gems,sector 89,0.88,7978.0,2.0,2.0,0,2.0,Under Construction,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
